kanji,hiragana/katakana,persian,english
三猿園,さんえんえん,باغ سه میمون,
三温糖,さんおんとう,شکر سان اون,
三角,さんかく,سه ضلعی,
参加,さんか,شرکت کردن,
参加する,さんかする,پیوستن,
参加者,さんかしゃ,شرکت کننده,
参照する,さんしょうする,مراجعه کنید,
参照制約,さんしょうせいやく,محدودیت ارجاعی,
山小屋,やまごや,محل استراحت در بالای کوه,
山頂,さんちょう,قله کوه,
散らかす,ちらかす,به هم ریختن,
散らかった,ちらかった,"بهم ریخته ، نامرتب",messy
散る,ちる,به آهستگی از درخت برگاش بیفته,to scatter
散布図,さんぷず,نمودار پراکندگی,scatter plot
散歩,さんぽ,قدم زدن,
産む,うむ,بدنیا آوردن,
産業,さんぎょう,صنعت,industry
算数,さんすう,حساب / ریاضیات,
賛成,さんせい,موافقت,
酸っぱい,すっぱい,ترش,
残す,のこす,باقی گذاشتن,
残り物,のこりもの,چیزی که مونده,
残る,のこる,باقیمانده,remaining
残業手当,ざんぎょうてあて,اضافه کاری بیش از حد,overtime payment
残高証明書,"ざんだか
しょうめいしょ",گواهی تعادل حساب,
残高利用,ざんだかりよう,استفاده از تعادل,
残念,ざんねん,متأسفم,
仕事,しごと,کار,task
仕上げる,しあげる,تکمیل یک عمل,
仕切り,しきり,تقسیم کردن,
仕方ない,しかたない,نمی توان به آن کمک کرد,
仕様,しよう,"مشخصات ، ویژگی ها",specifications
伺います,うかがいます,من خواهم پرسید,
使い放題,つかいほうだい,استفاده نامحدود,
使う,つかう,استفاده کردن,
使用禁止。,しようきんし。,استفاده نکن.,
﻿使用食器,"しよう
しょっき",ظروف استفاده,
使用性に分類,しようせいにぶんるい,طبقه بندی بر اساس قابلیت استفاده,
使用中,しようちゅう,قبلا گرفته شده است,
使用頻度の関係,しようひんどのかんけい,رابطه بین دفعات استفاده,
使用量,しようりょう,مقدار قابل استفاده,
刺さる,ささる,نیش زدن,
刺身,さしみ,ساشیمی,
四角い,しかくい,چهارظلعی,
始める,はじめる,شروع کردن,"to start ,begin"
姉,あね,خواهر بزرگتر,
姿,すがた,ظاهر,
姿勢を正す,しせいをただす,وضعیت خود را اصلاح کنید,
子供,こども,بچه ها,
子供の頃,こどものころ,دوران بچگی,
子供を剔らった犯人で,こどもを剔らったはんにんで,مقصری که کودکی را ربود,
市,し,شهر,
市区町村,しくちょうそん,شهرها ومناطق و روستاها,"cities,villages,town"
市場,しじょう,بازار,
市町村,しちょうそん,شهرداری,
市民,しみん,شهروند,
市役所,しやくしょ,شهرداری,
師匠。,ししょう。,استاد.,
思いやり,おもいやり,ملاحظه,
思い込む,おもいこむ,فرض کردن,
思い出,おもいで,حافظه,
思い出させる,おもいださせる,یادآوری کردن,remind
思い出す,おもいだす,به یاد آوردن,
思う,おもう,فکر می کنم که,
指,ゆび,انگشت,
指しています,さしています,اشاره می کند,
指します,さします,اشاره به,
指示,しじ,دستور / راهنما,
指示する,しじする,دادن دستور العمل,
指定,してい,"وضع کردن 
تعیین کردن",determine
指定する,していする,مشخص كردن,
指定の集合場所,していのしゅうごうばしょ,محل ملاقات تعیین شده,
指定の様式,していのようしき,قالب تعیین شده,
指摘事項,してきじこう,نکات قابل توجه,
指導,しどう,"راهنمایی ، هدایت ، ارائه کمک","guidance,instructions"
指輪,ゆびわ,انگشتر,
支える,ささえる,حمایت /ساپورت,to support
支度,したく,آماده سازی,
支払い,しはらい,پرداخت کردن,
支払時期,しはらいじき,دوره پرداخت,
支払方法,しはらいほうほう,روش پرداخت,
支弁者,しべんしゃ,حامی,
施行,しこう,اجرا,
施策,しさく,معیارهای,
施設で見守り,しせつでみまもり,مراقب تاسیسات باشید,
施設使用料,しせつしようりょう,هزینه استفاده از تسهیلات,
旨い,うまい,خوشمزه,
旨い汁,うまいしる,سوپ خوشمزه,
枝,えだ,شاخه,
止まる,とまる,توقف,
止める,とめる,متوقف کردن,
死ぬ,しぬ,مردن,
死後,しご,بعد از مرگ,
〜氏,〜し,"آقای ، خانم",
氏名,しめい,نام و نام خانوادگی,
私立学校法第,しりつがっこうほうだい,دسترسی نامحدود به مدارس  خصوصی,
私立高校,しりつこうこう,دبیرستان خصوصی,
紙幣認識,しへいにんしき,تشخیص اسکناس,
脂質,ししつ,لیپید,
至る,いたりる,"گرفتن (نتیجه ،تصمیم",
視点,してん,"دیدگاه ، نقطه نظر",
視点を変える,してんをかえる,تغییر دیدگاه,
視力,しりょく,سطح بینایی,
詩文,しぶん,شعر,
試す,ためす,تلاش کردن,
試験,しけん,آزمون,
試験日程,しけんにってい,زمان بندی امتحانات,
試合,しあい,مسابقه,
試作品,しさくひん,نمونه اولیه,
資格,しかく,صلاحیت,
資格登録,しかくとうろく,ثبت صلاحیت,
資金,しきん,منابع مالی,
資料,しりょう,برگه اطلاعات,
資料請求,しりょうせいきゅう,درخواست سند,
歯,は,دندان,
歯医者,はいしゃ,دندانپزشکی,
事件,じけん,حوادث,incidents
事故,じこ,تصادف,accidents
事前確率,じぜんかくりつ,احتمال پیشین,prior probability
事柄,ことがら,مسائل,
事務,じむ,کار اداری,
事務所,じむしょ,دفتر,
事務連絡,じむれんらく,ارتباطات اداری,
似る,にる,شباهت داشتن,
似合い,にあい,مناسب هم,
似合う,にあう,خوب به نظر میای,
児童,じどう,فرزندان,
字句,じく,واژه,"phrase,wording"
字幕なしで,じまくなしで,بدون زیرنویس,
慈悲深い,じひふかい,رحیم - مهربان,
持ち越し苦労,もちこしくろう,کار سخت انجام شد,
持ち込む,もちこむ,با چیزی وارد شدن,
持ち主。,もちぬし。,مالک,
持久走,じきゅうそう,دویدن استقامتی,
持参する,じさんする, با خودت بیار,bring it with you
持参金,じさんきん,مهریه,
持参物,じさんぶつ,چی بیارم,
持続可能,じぞくかのう,پایدار,
時,じ,ساعت,
時間が経つのが早い,じかんがたつのがはやい,زمان به سرعت می گذرد,
時間を潰す,じかんをつぶす,زمان را بکش,
時間厳守,じかんげんしゅ,وقت شناسی,
時給,じきゅう,دستمزد ساعتی,
時刻表,じこくひょう,جدول زمانی,
時々,ときどき,گاهی اوقات,
時速,じそく,طی کردن در ساعت,
時代,じだい,دوران,
〜時代,〜じだい,دوران ...,
次回,じかい,دفعه بعد,
次々に,つぎつぎに,یکی پس از دیگری,
次第,しだい,به محض,
次第に,しだいに,بستگی دارد,gradually
治療,ちりょう,درمان,treatment
磁気,じき,مغناطیسی,
磁石,じしゃく,آهنربایی,magnet
耳,みみ,گوش,
耳に入る,みみにはいる,تو گوشت فرو کن ,
耳を傾ける,みみをかたむける,گوش بده,
耳鼻科,じびか,گوش و حلق و بینی,
自己支弁中,じこしべんちゅう,تأمین خود,
自信,じしん,اعتماد به نفس,confidence
自信を失う,じしんをうしなう,از دست دادن اعتماد به نفس,
自炊,じすい,خود پذیرایی,
自然,しぜん,طبیعت,
自然の雰囲気,しぜんのふんいき,فضای طبیعی,
自然体になれる,しぜんたいになれる,طبیعی شود,
自転,じてん,چرخش,
自転車の書類,じてんしゃのしょるい,سند دوچرخه,
自転車を除く,じてんしゃをのぞく,به جز دوچرخه,
自動引き落とし,じどうひきおとし,"برداشت خودکار
از حساب",
自動化,じどうか,اتوماسیون,
"自動車部品
製造と修理学部","じどうしゃ
ぶひんせいぞう
としゅうりがくぶ","تعمیر و ساخت قطعات
 خودرو ",
自動振替,じどうふりかえ,انتقال خودکار,
自動調節,じどうちょうせつ,تنظیم خودکار,
自分,じぶん,خودم,
自分たち,じぶんたち,ما خودمون,
自由,じゆう,آزاد,
自由に,じゆうに,آزادانه,
辞退します,じたいします,من رد می کنم,
識別,しきべつ,شناسایی / تشخیص,"recognition,identification"
識別する,しきべつする,شناسایی,
軸,じく,محور,
七夕まつり,たなばたまつり,جشنواره تاناباتا,
七夕飾り,たなばたかざり,تزیین تاناباتا,
叱る,しかる,سرزنش کردن,
失う,うしなう,از دست دادن,to lose
失業,しつぎょう,بیکار,
失敗,しっぱい,شکست خوردن,fail
失礼,しつれい,ببخشید,
嫉妬,しっと,حسادت,
湿る,しめる,مرطوب شدن,
湿気,しっき,رطوبت,
湿度,しつど,رطوبت,
湿度計,しつどけい,رطوبت سنج,
質,しつ,کیفیت,
質問,しつもん,سوال پرسیدن,
実は,じつは,راستش,
実印,じついん,مهر ثبت شده,
実家,じっか,خانه پدر و مادر,
"実技中心
の授業","じつぎちゅう
しんの
じゅぎょう",کلاس های عملی,
実験,じっけん,آزمایش کردن,experiment
実験装置,じっけんそうち,تجهیزات آزمایشگاهی,lab equipment
実行,じっこう,اجرا کردن,
実施,じっし,پیاده سازی,
実質的な,じっしつてきな,به طور قابل ملاحظه ای,virtually
実習,じっしゅう,آموزش عملی,
実習費,じっしゅうひ,هزینه آموزش,
実術,じつじゅつ,تکنیک عملی,
実数,じっす,عدد واقعی,
実践,じっせん,کاربردی,
実践専門課程,じっせんせんもんかてい,دوره تخصصی کاربردی,
実用新案権,じつようしんあんけん,مدل کاربردی درست است,
縞馬,しまうま,کره خر,
縞模様,しまもよう,طرح راه راه,
写真,しゃしん,عکس,
捨てる,すてる,دور انداختن,
斜め,ななめ,مورب,
斜面,しゃめん,شیب,
煮る,にる,جوشیدن,
煮詰める,につめる,جوشیدن,
社会,しゃかい,جامعه,society
社説,しゃせつ,سرمقاله,
謝って,あやまって,عذر خواهی کردن.,
謝る必要はない,あやまるひつようはない,نیازی به عذرخواهی نیست,
謝罪する,しゃざいする,عذر خواهی کردن,
車に乗せてくれてありがとう,くるまにのせてくれてありがとう,ممنون که اجازه دادی سوار ماشینت بشم,
車に乗せる,くるまにのせる,سوار ماشین کردن,
車椅子,くるまいす,ویلچر,
車体,しゃたい,بدنه ماشین,
車内,しゃない,داخل وسیله نقلیه,
車両,しゃりょう,وسیله چرخدار,
蛇口,しゃぐち,شير آب,
邪魔します。,じゃまします。,مزاحم,
借りる,かりる,قرض گرفتن,
借金,しゃっきん,بدهی,
若い,わかい,جوان,
若干,じゃっかん,اندکی,
寂しい,さびしい,تنها,
寂れる,さびれる,کاهش رفاه,
弱火,よわび,حرارت کم,
弱体,じゃくたい,ضعیف,
弱点,じゃくてん,نقطه ضعف,
主な,おもな,اصلی,
主な質問,おもなしつもん,سوالات اصلی,
主に,おもに,بطور عمده,
主記憶装置,しゅきおくそうち,حافظه ذخیره سازی اصلی,
主体,しゅたい,موضوع,
主題,しゅだい,موضوع,
主張している,ちゅちょうしている,ادعاها,
取り越し苦労,とりこしぐろう,کار سخت به پایان رسیده,
